ean,descricao,preco,data_coleta,codmunicipio,codestado,rede_fonte,logradouro,bairro,cep,cidade,uf
7898179710065,AAS INF 100G 20X10 COMP DORMEC,1.08,2025-03-10 03:44:31,2927408,29,FARMACIA DO APOSENTADO MAIS BRASIL,RUA C,MUCHILA,44006260,FEIRA DE SANTANA,BA
7896004768380,AAS INF EMS 100MG 10CPR,2.0,2025-03-10 03:44:31,2927408,29,FARMACIAS DA ECONOMIA,AVENIDA GETULIO VARGAS,CENTRO,44001525,FEIRA DE SANTANA,BA
7896004768380,AAS INF EMS 100MG 10CPR,2.0,2025-03-10 03:44:31,2927408,29,FARMACIAS DA ECONOMIA,RUA CONSELHEIRO FRANCO,CENTRO,44002272,FEIRA DE SANTANA,BA
7896004710907,AAS 100MG 10 CPR GEMS,2.99,2025-03-10 03:44:31,2927408,29,FARMACIA G BARBOSA,RUA MARECHAL DEODORO,CENTRO,44002064,FEIRA DE SANTANA,BA
7896004710891,AAS INF EMS 100MG 30CPR,9.13,2025-03-10 03:44:31,2927408,29,FARMACIAS DA ECONOMIA,AVENIDA GETULIO VARGAS,CAPUCHINHOS,44076405,FEIRA DE SANTANA,BA
7896004710891,AAS INF EMS 100MG 30CPR,9.13,2025-03-10 03:44:31,2927408,29,FARMACIAS DA ECONOMIA,AVENIDA GETULIO VARGAS,CENTRO,44001525,FEIRA DE SANTANA,BA
7896004710891,AAS INF EMS 100MG 30CPR,9.13,2025-03-10 03:44:31,2927408,29,FARMACIAS DA ECONOMIA,RUA COMENDADOR GOMES,TOMBA,44091238,FEIRA DE SANTANA,BA
7896004710891,AAS INF EMS 100MG 30CPR,9.13,2025-03-10 03:44:31,2927408,29,FARMACIAS DA ECONOMIA,AVENIDA GETULIO VARGAS,CENTRO,44001525,FEIRA DE SANTANA,BA
7896004710891,AAS INF EMS 100MG 30CPR,9.13,2025-03-10 03:44:32,2927408,29,FARMACIAS DA ECONOMIA,RUA VISCONDE DO RIO BRANCO,CENTRO,44002175,FEIRA DE SANTANA,BA
7896004710891,AAS 100MG 30 CPR GEMS,9.99,2025-03-10 03:44:32,2927408,29,FARMACIA G BARBOSA,RUA MARECHAL DEODORO,CENTRO,44002064,FEIRA DE SANTANA,BA
7896004710891,AAS 100MG 30 CPR GEMS,9.99,2025-03-10 03:44:32,2927408,29,FARMACIA G BARBOSA,RUA VASCO FILHO S/N CENTRO,,44001400,FEIRA DE SANTANA,BA
7896094922440,AAS INFANTIL 100MG C/20 CPR,15.18,2025-03-10 03:44:32,2927408,29,FARMACIA BRITO,AVENIDA GETULIO VARGAS,CENTRO,44001525,FEIRA DE SANTANA,BA
